prefecture,value
北海道,895
青森県,213
岩手県,190
宮城県,360
秋田県,160
山形県,179
福島県,237
茨城県,433
栃木県,310
群馬県,290
埼玉県,735
千葉県,797
東京都,2462
神奈川県,942
新潟県,366
富山県,180
石川県,251
福井県,136
山梨県,191
長野県,288
岐阜県,326
静岡県,606
愛知県,1012
三重県,266
滋賀県,118
京都府,318
大阪府,1291
兵庫県,725
奈良県,129
和歌山県,139
鳥取県,67
島根県,78
岡山県,172
広島県,243
山口県,124
徳島県,86
香川県,81
愛媛県,159
高知県,55
福岡県,631
佐賀県,133
長崎県,226
熊本県,194
大分県,129
宮崎県,150
鹿児島県,206
沖縄県,109
