prefecture,value
北海道,469
青森県,451
岩手県,474
秋田県,482
宮城県,476
山形県,483
福島県,468
茨城県,458
栃木県,474
群馬県,466
埼玉県,467
千葉県,444
東京都,456
神奈川県,431
山梨県,443
静岡県,437
長野県,453
新潟県,467
富山県,471
石川県,437
福井県,457
岐阜県,473
愛知県,452
三重県,451
滋賀県,452
京都府,470
奈良県,469
和歌山県,459
大阪府,453
兵庫県,452
徳島県,439
高知県,472
愛媛県,460
香川県,459
岡山県,458
鳥取県,472
島根県,473
広島県,449
山口県,452
福岡県,427
佐賀県,445
長崎県,458
熊本県,443
大分県,460
宮崎県,461
鹿児島県,469
沖縄県,471
